depth	yearBP	SST	Notes
244.5	555	7.95	MD99-2275
245.5	558	8.36	MD99-2275
246.5	562	7.42	MD99-2275
247.5	566	7.75	MD99-2275
248.5	569	7.21	MD99-2275
249.5	573	7.44	MD99-2275
250.5	577	8.31	MD99-2275
251.5	580	7.54	MD99-2275
252.5	584	7.13	MD99-2275
253.5	588	7.83	MD99-2275
254.5	591	8.07	MD99-2275
255.5	595	7.33	MD99-2275
256.5	599	7.49	MD99-2275
257.5	602	7.88	MD99-2275
258.5	606	7.27	MD99-2275
259.5	610	7.50	MD99-2275
260.5	613	8.42	MD99-2275
261.5	617	7.75	MD99-2275
262.5	621	8.42	MD99-2275
263.5	624	8.49	MD99-2275
264.5	628	8.99	MD99-2275
265.5	632	8.83	MD99-2275
266.5	635	8.59	MD99-2275
267.5	639	8.29	MD99-2275
268.5	643	9.16	MD99-2275
269.5	646	8.74	MD99-2275
270.5	650	9.00	MD99-2275
271.5	655	10.02	MD99-2275
272.5	661	8.49	MD99-2275
273.5	666	8.46	MD99-2275
274.5	672	9.02	MD99-2275
275.5	677	9.18	MD99-2275
276.5	683	8.91	MD99-2275
277.5	688	8.18	MD99-2275
278.5	694	8.37	MD99-2275
279.5	699	7.34	MD99-2275
280.5	704	7.85	MD99-2275
281.5	710	8.64	MD99-2275
282.5	715	8.90	MD99-2275
283.5	721	9.23	MD99-2275
284.5	726	8.75	MD99-2275
285.5	732	8.89	MD99-2275
286.5	737	8.30	MD99-2275
287.5	743	8.96	MD99-2275
288.5	748	9.15	MD99-2275
289.5	753	9.39	MD99-2275
290.5	759	8.98	MD99-2275
291.5	764	8.97	MD99-2275
292.5	770	8.69	MD99-2275
293.5	775	9.32	MD99-2275
294.5	781	8.86	MD99-2275
295.5	786	9.12	MD99-2275
296.5	792	8.72	MD99-2275
297.5	797	8.60	MD99-2275
298.5	802	8.71	MD99-2275
299.5	808	8.82	MD99-2275
300.5	813	8.84	MD99-2275
301.5	819	8.86	MD99-2275
302.5	824	8.84	MD99-2275
303.5	830	8.83	MD99-2275
304.5	835	8.72	MD99-2275
305.5	841	8.65	MD99-2275
306.5	846	9.03	MD99-2275
307.5	851	9.13	MD99-2275
308.5	856	9.02	MD99-2275
309.5	861	8.97	MD99-2275
310.5	866	9.00	MD99-2275
311.5	871	8.95	MD99-2275
312.5	876	9.30	MD99-2275
313.5	881	8.74	MD99-2275
314.5	887	8.94	MD99-2275
315.5	892	8.84	MD99-2275
316.5	897	9.45	MD99-2275
317.5	902	8.76	MD99-2275
318.5	907	9.19	MD99-2275
319.5	912	9.09	MD99-2275
320.5	917	9.20	MD99-2275
321.5	922	8.89	MD99-2275
322.5	927	8.83	MD99-2275
323.5	932	9.66	MD99-2275
324.5	937	9.42	MD99-2275
325.5	942	9.12	MD99-2275
326.5	947	8.94	MD99-2275
327.5	952	9.27	MD99-2275
328.5	957	8.96	MD99-2275
329.5	962	9.16	MD99-2275
330.5	968	8.71	MD99-2275
331.5	973	7.90	MD99-2275
332.5	978	8.51	MD99-2275
333.5	983	8.06	MD99-2275
334.5	988	8.33	MD99-2275
335.5	993	8.57	MD99-2275
336.5	998	7.64	MD99-2275
337.5	1004	8.20	MD99-2275
338.5	1009	8.80	MD99-2275
339.5	1014	7.90	MD99-2275
340.5	1019	7.90	MD99-2275
341.5	1024	8.60	MD99-2275
342.5	1029	8.60	MD99-2275
343.5	1034	8.00	MD99-2275
344.5	1039	7.20	MD99-2275
345.5	1045	7.70	MD99-2275
346.5	1050	8.30	MD99-2275
347.5	1055	8.10	MD99-2275
348.5	1060	7.80	MD99-2275
349.5	1065	8.20	MD99-2275
350.5	1070	7.70	MD99-2275
351.5	1075	8.60	MD99-2275
352.5	1080	8.20	MD99-2275
353.5	1085	6.80	MD99-2275
354.5	1091	8.20	MD99-2275
355.5	1096	8.30	MD99-2275
356.5	1101	8.40	MD99-2275
357.5	1107	8.40	MD99-2275
358.5	1112	7.90	MD99-2275
359.5	1117	8.60	MD99-2275
360.5	1123	8.20	MD99-2275
361.5	1128	8.50	MD99-2275
362.5	1133	8.50	MD99-2275
363.5	1139	8.10	MD99-2275
364.5	1144	8.40	MD99-2275
365.5	1149	7.90	MD99-2275
366.5	1155	7.60	MD99-2275
367.5	1160	7.90	MD99-2275
368.5	1165	7.30	MD99-2275
369.5	1171	7.90	MD99-2275
370.5	1176	7.30	MD99-2275
371.5	1181	8.30	MD99-2275
372.5	1187	7.80	MD99-2275
373.5	1192	7.90	MD99-2275
374.5	1197	8.10	MD99-2275
375.5	1203	8.00	MD99-2275
376.5	1208	8.30	MD99-2275
377.5	1213	8.10	MD99-2275
378.5	1219	7.90	MD99-2275
379.5	1224	8.20	MD99-2275
380.5	1229	8.10	MD99-2275
381.5	1235	7.50	MD99-2275
382.5	1240	7.70	MD99-2275
383.5	1245	7.90	MD99-2275
384.5	1251	8.10	MD99-2275
385.5	1256	7.60	MD99-2275
386.5	1261	7.30	MD99-2275
387.5	1267	7.80	MD99-2275
388.5	1272	7.80	MD99-2275
389.5	1277	7.60	MD99-2275
390.5	1283	8.00	MD99-2275
391.5	1288	7.90	MD99-2275
392.5	1293	7.80	MD99-2275
393.5	1299	8.10	MD99-2275
394.5	1304	8.20	MD99-2275
395.5	1309	6.70	MD99-2275
396.5	1315	6.10	MD99-2275
397.5	1320	7.60	MD99-2275
398.5	1325	8.50	MD99-2275
399.5	1331	8.80	MD99-2275
400.5	1336	8.40	MD99-2275
401.5	1341	8.90	MD99-2275
402.5	1347	8.10	MD99-2275
403.5	1352	8.30	MD99-2275
404.5	1357	8.00	MD99-2275
405.5	1363	7.60	MD99-2275
406.5	1368	8.30	MD99-2275
407.5	1373	8.20	MD99-2275
408.5	1379	7.10	MD99-2275
409.5	1384	8.40	MD99-2275
410.5	1389	8.20	MD99-2275
411.5	1395	9.70	MD99-2275
412.5	1400	8.40	MD99-2275
413.5	1405	8.70	MD99-2275
414.5	1411	8.70	MD99-2275
415.5	1416	8.90	MD99-2275
416.5	1421	7.90	MD99-2275
417.5	1427	9.80	MD99-2275
418.5	1432	8.30	MD99-2275
419.5	1437	8.40	MD99-2275
420.5	1443	8.30	MD99-2275
421.5	1448	8.50	MD99-2275
422.5	1453	8.10	MD99-2275
