depth	d18O	dD
75.914	-28.94	
75.987	-27.88	
76.060	-27.03	
76.133	-27.00	
76.206	-29.86	
76.279	-30.91	
76.351	-30.04	
76.424	-28.06	
76.497	-26.83	
76.570	-26.56	
76.642	-25.93	
76.715	-25.27	
76.788	-26.15	
76.860	-26.90	
76.933	-27.47	
77.006	-27.24	
77.078	-26.69	
77.151	-24.74	
77.223	-24.52	
77.296	-25.67	
77.368	-27.81	
77.441	-30.19	
77.514	-31.29	
77.586	-31.04	
77.658	-30.32	
77.731	-28.67	
77.803	-26.36	
77.876	-25.85	
77.948	-28.10	
78.020	-27.63	
78.093	-27.49	
78.165	-27.84	
78.237	-28.16	
78.309	-27.76	
78.382	-26.78	
78.454	-27.19	
78.526	-28.97	
78.598	-29.47	
78.671	-28.71	
78.743	-27.45	
78.815	-28.06	
78.887	-29.26	
78.959	-29.41	
79.031	-28.46	
79.103	-27.62	
79.175	-26.85	
79.247	-26.43	
79.319	-26.63	
79.391	-27.12	
79.463	-28.16	
79.535	-29.28	
79.607	-28.67	
79.679	-27.30	
79.751	-26.51	
79.823	-26.58	
79.895	-26.78	
79.966	-26.44	
80.038	-26.08	
80.110	-26.63	
80.182	-27.15	
80.253	-26.80	
80.325	-28.46	
80.397	-28.64	
80.469	-29.21	
80.540	-28.18	
80.612	-29.05	
80.684	-30.05	
80.755	-27.80	
80.827	-29.70	
80.899	-31.46	
80.970	-31.88	
81.042	-31.20	
81.113	-29.97	
81.185	-28.68	
81.256	-26.89	
81.328	-26.03	
81.399	-26.48	
81.471	-28.44	
81.542	-29.83	
81.613	-30.55	
81.685	-30.01	
81.756	-28.04	
81.828	-27.30	
81.899	-24.48	
81.970	-24.45	
82.042	-26.39	
82.113	-27.44	
82.184	-28.91	
82.255	-29.92	
82.327	-29.81	
82.398	-29.12	
82.469	-28.04	
82.540	-27.12	
82.611	-25.67	
82.683	-24.56	
82.754	-24.71	
82.825	-26.36	
82.896	-28.08	
82.967	-28.34	
83.038	-27.41	
83.109	-26.06	
83.180	-25.48	
83.251	-22.89	
83.322	-25.22	
83.393	-27.79	
83.464	-28.60	
83.535	-27.17	
83.606	-28.02	
83.677	-26.53	
83.748	-27.10	
83.819	-28.71	
83.890	-29.89	
83.960	-30.42	
84.031	-30.28	
84.102	-29.79	
84.173	-29.04	
84.244	-27.92	
84.314	-27.14	
84.385	-27.44	
84.456	-28.55	
84.527	-29.89	
84.597	-30.21	
84.668	-29.61	
84.739	-28.41	
84.809	-27.45	
84.880	-27.84	
84.951	-29.78	
85.021	-30.72	
85.092	-29.87	
85.162	-28.68	
85.233	-29.18	
85.303	-30.38	
85.374	-30.55	
85.445	-30.17	
85.515	-29.32	
85.586	-27.47	
85.656	-28.84	
85.726	-30.26	
85.797	-30.72	
85.867	-29.74	
85.938	-28.40	
86.008	-27.23	
86.079	-26.95	
86.149	-28.15	
86.219	-29.89	
86.289	-31.43	
86.360	-32.32	
86.430	-32.44	
86.500	-30.35	
86.571	-29.60	
86.641	-29.23	
86.711	-29.77	
86.781	-30.62	
86.851	-30.94	
